SMILES,Drugbank-ID,CAS Number,Name,Synonyms,Drug Type,Affected Organism,Dosage Form,Dosage Route,Dosage,Indication
C(C1=C(O[H])C(C(=O)[H])=C(C(OP(O[H])(O[H])=O)([H])[H])C([H])=N1)([H])([H])[H],DB00114,54-47-7,Pyridoxal Phosphate,"3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde
3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate
Codecarboxylase
PLP
Pyridoxal 5-monophosphoric acid ester
Pyridoxal 5-phosphate
Pyridoxal 5'-phosphate
Pyridoxal P
Pyridoxal phosphate anhydrous
Pyridoxal-5P
Pyridoxal-P",small molecule,Humans and other mammals,"Capsule, delayed release pellets
Capsule
Capsule, gelatin coated","Oral
Oral
Oral",,For nutritional supplementation and for treating dietary shortage or imbalance.
C(C(=O)C(O[H])=O)([H])([H])[H],"DB00119
DB11194",127-17-3,Pyruvic acid,"2-ketopropionic acid
2-oxopropanoic acid
2-Oxopropans��ure
2-Oxopropions��ure
a-Ketopropionic acid
Acetylformic acid
acide pyruvique
alpha-ketopropionic acid
Brenztraubens��ure
BTS
Pyroracemic acid
��-ketopropionic acid
��-Oxopropions��ure",small molecule,Humans and other mammals,Solution,Extracorporeal,,"For nutritional supplementation, also for treating dietary shortage or imbalance"
N(C(C(C(N(C(C(C(C(N(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H],"DB00127
DB02564",71-44-3,Spermine,"4,9-Diaza-1,12-dodecanediamine
4,9-Diazadodecane-1,12-diamine
N,N'-Bis(3-aminopropyl)-1,4-butanediamine
Spermine",small molecule,Humans and other mammals,,,,"For nutritional supplementation, also for treating dietary shortage or imbalance"
C(C(C(=C(C(C(=C(C(C(=C(C(C(C(C(C(C(C(C(O[H])=O)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])[H])[H])([H])[H])[H])[H])([H])[H])([H])([H])[H],DB00132,463-40-1,Alpha-Linolenic Acid,"(9,12,15)-linolenic acid
(9Z,12Z,15Z)-Octadecatrienoic acid
(Z,Z,Z)-9,12,15-octadecatrienoic acid
9-cis,12-cis,15-cis-octadecatrienoic acid
9,12,15-Octadecatrienoic acid
ALA
all-cis-9,12,15-Octadecatrienoic acid
alpha-Linolenic acid
cis-delta(9,12,15)-Octadecatrienoic acid
cis,cis,cis-9,12,15-Octadecatrienoic acid
Linolenic acid
��-linolenic acid",small molecule,Humans and other mammals,"Capsule, gelatin coated
Capsule","Oral
Oral",,For nutritional supplementation and for treating dietary shortage or imbalance.
O(C(=O)C(C(C(O[H])=O)([H])[H])([H])[H])[H],DB00139,110-15-6,Succinic acid,"1,2-Ethanedicarboxylic acid
Acide butanedioique
Acide succinique
Acidum succinicum
Amber acid
Asuccin
Bernsteinsaeure
Bernsteinsaure
Butandisaeure
Butanedioic acid
Butanedionic acid
Dihydrofumaric acid
e363
Ethylenesuccinic acid
HOOC-CH2-CH2-COOH
Spirit of amber
Succinate
Succinic acid",small molecule,Humans and other mammals,Tablet,Oral,,"For nutritional supplementation, also for treating dietary shortage or imbalance"
N(C(C(O[H])=O)([H])[H])([H])[H],DB00145,56-40-6,Glycine,"Aminoacetic acid
Aminoessigs��ure
Aminoethanoic acid
Gly
Glycin
Glycocoll
Glykokoll
Glyzin
Leimzucker",small molecule,Humans and other mammals,"Powder
Injection, solution
Tablet
Irrigant
Solution
Liquid
Liquid
Solution
Injection, emulsion
Injection, solution, concentrate
Liquid
Emulsion
Liquid
Injection
Solution","Topical
Intravenous
Oral
Irrigation
Irrigation
Irrigation
Irrigation
Irrigation
Intravenous
Intravenous
Hemodialysis
Intravenous
Intravenous
Intravenous
Intravenous","1.5 g/100mL
1.5 g/100mL
1.5 g
1.5 %
15 mg",Supplemental glycine may have antispastic activity. Very early findings suggest it may also have antipsychotic activity as well as antioxidant and anti-inflammatory activities.
C(C1=NC([H])=C(C(O[H])([H])[H])C(C(=O)[H])=C1O[H])([H])([H])[H],DB00147,66-72-8,Pyridoxal,"2-methyl-3-hydroxy-4-formyl-5-hydroxymethylpyridine
3-hydroxy-5-(hydroxymethyl)-2-methyl-4-pyridinecarboxaldehyde
3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde
3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxaldehyde
Piridoxal
Pyridoxaldehyde",small molecule,Humans and other mammals,,,,"Pyridoxal is one of the natural forms available of vitamin B6, therefore, it is used for nutritional supplementation and for treating dietary shortage or imbalances."
C(N(C(C(O[H])=O)([H])[H])C(N([H])[H])=N[H])([H])([H])[H],DB00148,57-00-1,Creatine,"((amino(Imino)methyl)(methyl)amino)acetic acid
(alpha-Methylguanido)acetic acid
(N-methylcarbamimidamido)acetic acid
(��-methylguanido)acetic acid
alpha-Methylguanidino acetic acid
Creatin
Kreatin
Methylglycocyamine
N-(aminoiminomethyl)-N-methylglycine
N-amidinosarcosine
N-carbamimidoyl-N-methylglycine
N-methyl-N-guanylglycine",small molecule,Humans and other mammals,,,,"For nutritional supplementation, also for treating dietary shortage or imbalance."
C(C1=C(C(C(O[H])([H])[H])([H])[H])SC([H])=[N+]1C(C1=C(N([H])[H])N=C(C([H])([H])[H])N=C1[H])([H])[H])([H])([H])[H],DB00152,70-16-6,Thiamine,"Aneurin
Antiberiberi factor
Thiamin
thiamine
thiamine(1+)
thiamine(1+) ion
thiaminium
tiamina
Vitamin B1",small molecule,Humans and other mammals,"Tablet
Elixir
Capsule
Tablet, extended release
Injection
Injection, solution
Tablet, extended release
Powder, for solution
Powder, for solution
Liquid
Elixir
Granule
Capsule, liquid filled
Capsule
Syrup
Liquid
Injection, solution
Tablet, effervescent
Tablet, chewable
Solution / drops
Kit
Liquid
Injection, powder, lyophilized, for solution
Powder
Liquid; tablet
Injection, solution, concentrate
Solution
Solution
Liquid
Solution
Powder
Tablet
Tablet, film coated
Kit
Tablet, coated
Kit
Capsule, extended release
Liquid
Tablet
Tablet
Injection, solution
Liquid
Capsule; liquid
Lozenge
Capsule, gelatin coated
Tablet, extended release
Capsule
Injection
Injection
Solution
Tablet","Oral
Oral
Oral
Oral
Intramuscular
Intramuscular; Intravenous
Oral
Intramuscular; Intravenous
Intravenous
Oral
Oral
Oral
Oral
Oral
Oral
Intramuscular; Intravenous
Intravenous
Oral
Oral
Oral
Intravenous
Intravenous
Topical
Oral
Intravenous
Intravenous
Oral
Oral
Intramuscular; Intravenous
Oral
Oral
Oral
Oral
Oral
Oral
Intramuscular; Intravenous
Oral
Oral
Intramuscular; Intravenous
Intramuscular
Oral
Oral
Oral
Oral
Oral
Intramuscular; Intravenous
Intravenous
Intramuscular; Intravenous
Oral","100 mg
500 mg
400 mg
.05 mg
.05 mg
100 mg
25 mg
50 mg
100 mg/mL
100 mg
100 mg
100 mg
100 mg
2 mg","For the treatment of thiamine and niacin deficiency states, Korsakov's alcoholic psychosis, Wernicke-Korsakov syndrome, delirium, and peripheral neuritis."
C(C(C(C(C(C(=C(C(C(=C(C(C(=C(C(C(C(C(C(C(C(O[H])=O)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])[H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],DB00154,1783-84-2,Dihomo-gamma-linolenic acid,"(8Z,11Z,14Z)-Icosatrienoic acid
(Z,Z,Z)-8,11,14-Eicosatrienoic acid
(Z,Z,Z)-8,11,14-Icosatrienoate
(Z,Z,Z)-8,11,14-Icosatrienoic acid
20:3, n-6,9,12 all-cis
8,11,14-Eicosatrienoic Acid
8c,11c,14c-eicosatrienoic acid
8c,11c,14c-Eicosatriens��ure
all-cis-8,11,14-eicosatrienoic acid
all-cis-8,11,14-icosatrienoic acid
all-cis-eicosa-8,11,14-trienoic acid
all-cis-Eicosa-8,11,14-triens��ure
all-cis-icosa-8,11,14-trienoic acid
C20:3, n-6,9,12 all-cis
cis,cis,cis-8,11,14-eicosatrienoic acid
DGLA
dihomo-��-linolenic acid
eicosa-8Z,11Z,14Z-trienoic acid
gamma-Homolinolenic acid
Homo-gamma-linolenic acid
Homo-gamma-linolens��ure
Homo-��-linolens��ure",small molecule,Humans and other mammals,,,,"For nutritional supplementation, also for treating dietary shortage or imbalance"
