"Molecule","Potency","pIC50","Outcome","is_active"
"[H]N([H])C1=C(N=C([H])C([H])=C1C([H])([H])[H])N([H])C(=O)C1([H])C2=C([H])C(Cl)=C([H])C([H])=C2OC([H])([H])C1([H])[H]",71.5685890453825,4.145277544695305,"Inactive",0
"[H]N([H])C1=C(N([H])C(=O)C2([H])C3=C([H])C(Cl)=C([H])C([H])=C3OC([H])([H])C2([H])[H])C(=C([H])C([H])=N1)C([H])([H])[H]",69.5447932876528,4.157735379418694,"Inactive",0
"[H]N(C(=O)C1(C2=C([H])C(Cl)=C([H])C([H])=C2OC([H])([H])C1([H])[H])C([H])([H])N([H])C([H])([H])C1=C([H])N(N=C1[H])C1(C([H])([H])[H])C([H])([H])C([H])([H])S(=O)(=O)C1([H])[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",24.4132571565715,4.612374274218304,"Inactive",0
"[H]N(C(=O)C1(C2=C([H])C(Cl)=C([H])C([H])=C2OC([H])([H])C1([H])[H])C([H])([H])N([H])C([H])([H])C1=C([H])N(N=C1[H])C1([H])C([H])([H])C([H])([H])S(=O)(=O)C1([H])[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",11.6714685790764,4.932874494797676,"Inactive",0
"[H]N([H])C(=O)C([H])([H])OC1=C([H])C(=C([H])C([H])=C1OC([H])([H])[H])C([H])([H])N([H])C([H])([H])C1(C(=O)N([H])C2=C([H])N=C([H])C3=C([H])C([H])=C([H])C([H])=C23)C2=C([H])C(Cl)=C([H])C([H])=C2OC([H])([H])C1([H])[H]",11.5240061883109,4.938396517178456,"Inactive",0
"[H]N(C(=O)C1=C([H])C([H])=NC2=C([H])C(Cl)=C(Cl)C([H])=C12)C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",28.1092605178634,4.551150579409837,"Inactive",0
"[H]C1=C([H])C(=C([H])C([H])=C1F)S(=O)(=O)N1C([H])([H])C([H])([H])N(C(=O)C([H])([H])Cl)C([H])([H])C([H])([H])C1([H])[H]",43.9987144366107,4.3565600126329596,"Inactive",0
"[H]N(C(=O)C([H])([H])C1=C([H])C([H])=C([H])C(Cl)=C1[H])C1=C2ON=C([H])C2=C([H])N=C1[H]",23.9366000986946,4.620937535768978,"Inactive",0
"[H]N(C(=O)C1(C2=C([H])C(Cl)=C([H])C([H])=C2OC([H])([H])C1([H])[H])C([H])([H])N([H])C([H])([H])C1=C([H])C([H])=C(OC([H])([H])C(=O)N([H])C([H])([H])[H])C(OC([H])([H])[H])=C1[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",11.7582471215303,4.929657416541123,"Inactive",0
"[H]N(C(=O)C1(C2=C([H])C(Cl)=C([H])C([H])=C2OC([H])([H])C1([H])[H])C([H])([H])N([H])C([H])([H])C1=C([H])N(C2=C(C#N)C([H])=NN12)C([H])([H])[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",12.0942129343058,4.917422389345098,"Inactive",0
"[H]N(C(=O)C1([H])C2=C([H])C(Cl)=C([H])C([H])=C2C([H])([H])N(C1([H])[H])S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])C1=C([H])N=C([H])C([H])=C1C(F)(F)F",28.8275830417378,4.540191768143815,"Inactive",0
"[H]N(C(=O)C1([H])C2=C([H])C(Cl)=C([H])C([H])=C2OC([H])([H])C1([H])[H])C1=C(C(N([H])C([H])([H])[H])=C([H])N=C1[H])C([H])([H])[H]",32.3310877455653,4.490379683759929,"Inactive",0
"[H]N(C(=O)C1(C2=C([H])C(Cl)=C([H])C([H])=C2OC([H])([H])C1([H])[H])C([H])([H])N([H])C([H])([H])C([H])([H])N1C(=O)C2=C([H])C([H])=C([H])C([H])=C2C1=O)C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",14.2891089719782,4.844994851728131,"Inactive",0
